fileName,klausScore,areaScore,posScore,brisqueScore,shrScore,nrss,g_mssim,Rp,g_entropy
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0012.jpeg,0.609920,0.000000,0.000000,0.609920,0.102920,0.054522,0.117735,0.127002,0.241347
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0011.jpeg,0.464655,0.000000,0.000000,0.464655,0.093663,0.045297,0.177913,0.100685,0.074793
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0010.jpeg,1.890199,0.745199,0.887985,0.566747,0.073315,0.033440,0.138535,0.080145,0.018640
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0009.jpeg,0.474256,0.000000,0.000000,0.474256,0.033285,0.008285,0.103135,0.030459,0.027362
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0008.jpeg,1.941093,0.746370,0.827457,0.705915,0.108066,0.053166,0.263196,0.101432,0.025239
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0007.jpeg,0.781112,0.000000,0.000000,0.781112,0.128466,0.073751,0.356131,0.103920,0.156771
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0006.jpeg,0.657527,0.000000,0.000000,0.657527,0.075258,0.025986,0.201543,0.072481,0.021001
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0005.jpeg,0.527299,0.000000,0.000000,0.527299,0.079318,0.035238,0.166401,0.083189,0.040449
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0004.jpeg,1.817487,0.745199,0.858094,0.538585,0.055834,0.023451,0.124827,0.057447,0.117820
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0003.jpeg,0.593919,0.000000,0.000000,0.593919,0.052192,0.024756,0.169081,0.039215,0.088645
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0002.jpeg,0.504758,0.000000,0.000000,0.504758,0.173149,0.080090,0.372237,0.177579,0.023933
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0001.jpeg,0.668575,0.000000,0.000000,0.668575,0.139466,0.069860,0.287182,0.143074,0.089092
7702970561371997782/20180307_a733cc9cb822c60735b93ff309602774_0006.jpeg,2.137909,0.902108,0.939149,0.443482,0.046513,0.015794,0.082991,0.055153,0.008475
7702970561371997782/20180307_a733cc9cb822c60735b93ff309602774_0005.jpeg,2.152877,0.902108,0.939149,0.458450,0.061149,0.021429,0.087667,0.077389,0.013950
7702970561371997782/20180307_a733cc9cb822c60735b93ff309602774_0004.jpeg,2.205826,0.902108,0.956128,0.480765,0.053361,0.018372,0.092654,0.063755,0.017793
7702970561371997782/20180307_a733cc9cb822c60735b93ff309602774_0003.jpeg,2.196387,0.902108,0.939149,0.501959,0.045550,0.016245,0.086073,0.052387,0.012622
7702970561371997782/20180307_a733cc9cb822c60735b93ff309602774_0002.jpeg,2.269527,0.962998,0.935614,0.467538,0.049312,0.015441,0.082500,0.060564,0.001740
7702970561371997782/20180307_a733cc9cb822c60735b93ff309602774_0001.jpeg,2.220821,0.961827,0.915415,0.459880,0.053135,0.016581,0.080874,0.067262,0.004686
7702968739495434855/20180307_e25b8083db996d13cb4b1b34877879f1_0012.jpeg,0.415012,0.000000,0.000000,0.415012,0.079373,0.043385,0.096303,0.095829,0.366139
7702968739495434855/20180307_e25b8083db996d13cb4b1b34877879f1_0011.jpeg,0.419100,0.000000,0.000000,0.419100,0.089017,0.041655,0.090807,0.115703,0.367876
7702968739495434855/20180307_e25b8083db996d13cb4b1b34877879f1_0010.jpeg,0.401231,0.000000,0.000000,0.401231,0.048881,0.022261,0.086086,0.054995,0.366932
7702968739495434855/20180307_e25b8083db996d13cb4b1b34877879f1_0009.jpeg,0.388392,0.000000,0.000000,0.388392,0.045842,0.021097,0.094466,0.048080,0.367180
7702968739495434855/20180307_e25b8083db996d13cb4b1b34877879f1_0008.jpeg,0.437519,0.000000,0.000000,0.437519,0.072427,0.040553,0.094649,0.085228,0.366700
7702968739495434855/20180307_e25b8083db996d13cb4b1b34877879f1_0007.jpeg,0.397007,0.000000,0.000000,0.397007,0.058801,0.026422,0.090965,0.069451,0.367871
7702968739495434855/20180307_e25b8083db996d13cb4b1b34877879f1_0006.jpeg,0.483116,0.000000,0.000000,0.483116,0.098210,0.072590,0.104220,0.111408,0.361667
7702968739495434855/20180307_e25b8083db996d13cb4b1b34877879f1_0005.jpeg,0.350088,0.000000,0.000000,0.350088,0.044592,0.024441,0.078789,0.047738,0.367346
7702968739495434855/20180307_e25b8083db996d13cb4b1b34877879f1_0004.jpeg,0.394743,0.000000,0.000000,0.394743,0.069040,0.037118,0.087010,0.082911,0.366726
7702968739495434855/20180307_e25b8083db996d13cb4b1b34877879f1_0003.jpeg,0.416518,0.000000,0.000000,0.416518,0.047787,0.019023,0.090341,0.053817,0.363597
7702968739495434855/20180307_e25b8083db996d13cb4b1b34877879f1_0002.jpeg,0.438903,0.000000,0.000000,0.438903,0.087496,0.049408,0.096224,0.107168,0.364962
7702968739495434855/20180307_e25b8083db996d13cb4b1b34877879f1_0001.jpeg,0.337934,0.000000,0.000000,0.337934,0.035804,0.021119,0.074094,0.034816,0.366746
7702967515022837950/20180307_bff10c7fade18599e1739d379f256b79_0012.jpeg,0.419313,0.000000,0.000000,0.419313,0.047609,0.019316,0.111118,0.048224,0.000306
7702967515022837950/20180307_bff10c7fade18599e1739d379f256b79_0011.jpeg,0.616560,0.000000,0.000000,0.616560,0.087949,0.048017,0.161672,0.092724,0.001177
